,Group,logV,logVsd,logVlow,logVhigh,n,nsd,nlow,nhigh,Eo,Eosd,Eolow,Eohigh,Nspecies,level
110,Pleuronectidae,0.92258233,0.338274014,0.342491359,1.468308718,-0.071869154,0.06277185,-0.181099814,0.028128854,0.258567158,0.153266105,0.021636451,0.499148639,3,Family
111,Salmoniformes,1.134558509,0.4338548,0.364901656,1.813870338,-0.060944642,0.053002923,-0.147223291,0.024520646,0.202070369,0.178299675,-0.076191488,0.491539235,3,Order
112,Salmonidae,1.251992729,0.319674713,0.742809007,1.773925104,-0.055531131,0.050901425,-0.142215573,0.025736784,0.194791367,0.143753627,-0.040508229,0.426957236,3,Family
113,Scombriformes,1.09181278,0.456345093,0.366353321,1.848068657,-0.059269654,0.054242357,-0.14357009,0.028102942,0.200965234,0.181232529,-0.106959757,0.50191239,1,Order
114,Scombridae,1.071566973,0.438289605,0.278485486,1.765905349,-0.048651268,0.060657983,-0.137937757,0.061435697,0.204087951,0.189302156,-0.095241451,0.507699686,1,Family
115,Tetraodontiformes,1.101010214,0.454256206,0.32062833,1.816097098,-0.064497085,0.054879523,-0.155745139,0.024695351,0.19913838,0.179857295,-0.104002247,0.502613309,1,Order
116,Monacanthidae,1.035418188,0.412553881,0.375177081,1.746014466,-0.070028499,0.069422295,-0.189434772,0.040012792,0.191143943,0.179923642,-0.104560238,0.476303062,1,Family
117,Trachichthyiformes,1.11189456,0.437168612,0.363646532,1.80204195,-0.059536151,0.057271683,-0.153184846,0.036364304,0.19580528,0.17825297,-0.091533464,0.479510701,1,Order
118,Anoplogastridae,1.12925011,0.361762574,0.513368357,1.746473845,-0.061536307,0.071337305,-0.180865885,0.046456926,0.191208173,0.166009405,-0.100809026,0.449701741,1,Family
119,Thaliacea,0.932232778,0.498428953,0.077622744,1.727282665,-0.072887175,0.068156061,-0.18488687,0.031389378,0.273755079,0.20442745,-0.05847183,0.631560778,1,Class
120,Salpida,0.907028505,0.499342868,0.118735302,1.713938865,-0.072200877,0.070743291,-0.182349758,0.04216159,0.288555287,0.20733125,-0.059232345,0.617940257,1,Order
121,Salpidae,0.912719443,0.365279379,0.369857212,1.591065805,-0.070001146,0.069965595,-0.190394486,0.04060087,0.307390416,0.171549915,0.020178708,0.562686586,1,Family
